candidate,nearest_existing_well,nearest_completion_distance_IJ_cells,I,J,K,X,Y,Depth,PORO,PORV,NTG,PERMX,PERMY,PERMZ,SATNUM,PRESSURE_initial,PRESSURE_final,DELTA_PRESSURE,SWAT_initial,SWAT_final,DELTA_SWAT,SGAS_initial,SGAS_final,SOIL_initial,SOIL_final,OIL_PV_PROXY
ALT_66_32,P-F-10,5.0,66,32,24,435400.44938211696,6478068.474067923,2938.628387451172,0.18535186350345612,361.0526123046875,1.0,517.5955200195312,517.5955200195312,207.0382080078125,1.0,327.2760314941406,367.99859619140625,40.722564697265625,0.1731688380241394,0.636622965335846,0.46345412731170654,0.0,0.0,0.8268311619758606,0.36337703466415405,131.1982276170238
ALT_66_32,P-F-10,5.0,66,32,25,435400.67799244623,6478068.284178853,2939.536102294922,0.18420977890491486,359.094482421875,1.0,493.7200012207031,493.7200012207031,197.48800659179688,1.0,327.3394775390625,368.0931091308594,40.753631591796875,0.17497369647026062,0.6410847902297974,0.46611109375953674,0.0,0.0,0.8250263035297394,0.35891520977020264,128.8844714857696
ALT_66_32,P-F-10,5.0,66,32,26,435400.9143481631,6478068.087859433,2940.4744873046875,0.20321404933929443,423.193115234375,1.0,255.04840087890625,255.04840087890625,76.5145263671875,1.0,327.40533447265625,368.191162109375,40.78582763671875,0.20021720230579376,0.6539785265922546,0.4537613242864609,0.0,0.0,0.7997827976942062,0.34602147340774536,146.4339052694122
ALT_66_32,P-F-10,5.0,66,32,27,435401.1584093692,6478067.885147165,2941.443389892578,0.2158341407775879,449.7145690917969,1.0,372.15948486328125,372.15948486328125,111.6478500366211,1.0,327.4732360839844,368.292236328125,40.819000244140625,0.18577584624290466,0.6442900896072388,0.4585142433643341,0.0,0.0,0.8142241537570953,0.35570991039276123,159.9679290739623
ALT_66_32,P-F-10,5.0,66,32,28,435401.4024534734,6478067.68245047,2942.4122314453125,0.22176077961921692,462.5483703613281,1.0,462.5179443359375,462.5179443359375,138.75538635253906,1.0,327.541015625,368.39324951171875,40.85223388671875,0.1774687021970749,0.659955620765686,0.48248691856861115,0.0,0.0,0.8225312978029251,0.34004437923431396,157.28697346536137
ALT_66_32,P-F-10,5.0,66,32,29,435401.64654356067,6478067.479714724,2943.3812561035156,0.21906593441963196,457.28912353515625,1.0,604.8760375976562,604.8760375976562,181.4628143310547,1.0,327.6089172363281,368.494384765625,40.885467529296875,0.16721336543560028,0.6507440209388733,0.483530655503273,0.0,0.0,0.8327866345643997,0.3492559790611267,159.71096055427552
ALT_66_32,P-F-10,5.0,66,32,30,435401.8906277651,6478067.276982719,2944.3502502441406,0.22835798561573029,477.0623779296875,1.0,804.364501953125,804.364501953125,241.30935668945312,1.0,327.6767272949219,368.595458984375,40.918731689453125,0.15632015466690063,0.6461312770843506,0.48981112241744995,0.0,0.0,0.8436798453330994,0.3538687229156494,168.8174544290814
ALT_66_32,P-F-10,5.0,66,32,31,435402.13471196947,6478067.074250713,2945.3192443847656,0.24490676820278168,512.0390014648438,1.0,1077.1348876953125,1077.1348876953125,323.1404724121094,1.0,327.74444580078125,368.69610595703125,40.95166015625,0.1451602280139923,0.6454381942749023,0.50027796626091,0.0,0.0,0.8548397719860077,0.35456180572509766,181.54947296105092
ALT_66_32,P-F-10,5.0,66,32,32,435402.3788023318,6478066.871514129,2946.2882690429688,0.19862012565135956,415.5929260253906,1.0,1079.6741943359375,1079.6741943359375,323.90228271484375,1.0,327.8124084472656,368.7969970703125,40.984588623046875,0.14507022500038147,0.6477599740028381,0.5026897490024567,0.0,0.0,0.8549297749996185,0.35224002599716187,146.38846306742016
ALT_66_32,P-F-10,5.0,66,32,33,435402.6229164767,6478066.6687565595,2947.2573852539062,0.2263132780790329,474.0341796875,1.0,800.3056640625,800.3056640625,240.09170532226562,1.0,327.8802185058594,368.8974914550781,41.01727294921875,0.15651348233222961,0.6485317349433899,0.4920182526111603,0.0,0.0,0.8434865176677704,0.3514682650566101,166.607970712299
