case,date,FOPT,FWPT,FOPR,FPR,candidate_well,WOPT,WOPR,WWPR,WWCT,WBHP
A,2017-10-01,10044376.0,15745132.0,26.76382064819336,309.00592041015625,INF-A,66614.5,26.76382064819336,193.79611206054688,0.8786551356315613,300.0
A,2018-01-01,10046225.0,15758541.0,17.8725528717041,308.11431884765625,INF-A,68463.7265625,17.8725528717041,125.6650161743164,0.8754851818084717,300.0
A,2018-04-01,10047569.0,15766984.0,14.107213020324707,307.564697265625,INF-A,69807.0703125,14.107213020324707,85.79606628417969,0.8587912917137146,300.0
A,2018-07-01,10048657.0,15772946.0,11.365191459655762,307.1783142089844,INF-A,70895.546875,11.365191459655762,59.92892074584961,0.8405872583389282,300.0
A,2018-10-01,10049546.0,15776897.0,9.662740707397461,306.9165344238281,INF-A,71784.515625,9.662740707397461,42.94904708862305,0.816338837146759,300.0
A,2019-01-01,10050345.0,15779909.0,8.40558910369873,306.7049560546875,INF-A,72583.3359375,8.40558910369873,29.570308685302734,0.7786598801612854,300.0
A,2019-04-01,10051064.0,15781915.0,7.895184516906738,306.5458068847656,INF-A,73302.171875,7.895184516906738,20.321144104003906,0.7201909422874451,300.0
A,2019-07-01,10051754.0,15783325.0,7.450112819671631,306.4127197265625,INF-A,73992.1640625,7.450112819671631,13.842751502990723,0.6501122117042542,300.0
A,2019-10-01,10052419.0,15784311.0,7.148341655731201,306.29913330078125,INF-A,74657.421875,7.148341655731201,9.598230361938477,0.5731459856033325,300.0
A,2020-01-01,10053065.0,15784995.0,6.95681095123291,306.19818115234375,INF-A,75303.140625,6.95681095123291,6.542235374450684,0.4846442639827728,300.0
A,2020-04-01,10053692.0,15785479.0,6.85913610458374,306.1033935546875,INF-A,75930.203125,6.85913610458374,4.852017402648926,0.4143073856830597,300.0
A,2020-07-01,10054311.0,15785858.0,6.790034770965576,306.0017395019531,INF-A,76549.984375,6.790034770965576,3.948302745819092,0.36768287420272827,300.0
A,2020-10-01,10054930.0,15786178.0,6.688420295715332,305.8936767578125,INF-A,77168.171875,6.688420295715332,3.298240900039673,0.3302646279335022,300.0
A,2021-01-01,10055534.0,15786420.0,6.53854513168335,305.7856140136719,INF-A,77772.3984375,6.53854513168335,2.5484893321990967,0.2804533541202545,300.0
A,2021-04-01,10056109.0,15786593.0,6.360322952270508,305.6829833984375,INF-A,78347.9375,6.360322952270508,1.8812801837921143,0.22826629877090454,300.0
A,2021-07-01,10056674.0,15786718.0,6.1684980392456055,305.5841369628906,INF-A,78912.8984375,6.1684980392456055,1.3158150911331177,0.17580972611904144,300.0
A,2021-10-01,10057228.0,15786802.0,5.9757466316223145,305.4888610839844,INF-A,79466.9765625,5.9757466316223145,0.8143879771232605,0.11993694305419922,300.0
B,2016-10-01,9977761.0,15566696.0,0.0,338.6571960449219,INF-B,0.0,-0.0,-0.0,0.0,0.0
B,2017-01-01,9978249.0,15623355.0,6.032452583312988,336.6103210449219,INF-B,487.8795471191406,6.032452583312988,556.9925537109375,0.9892856478691101,300.0
B,2017-04-01,9978764.0,15668193.0,5.550836563110352,332.20147705078125,INF-B,1002.1441650390625,5.550836563110352,480.4964294433594,0.9885796308517456,300.0
B,2017-07-01,9979212.0,15707417.0,4.713969707489014,327.60577392578125,INF-B,1450.556396484375,4.713969707489014,415.2307434082031,0.9887747764587402,300.0
B,2017-10-01,9979589.0,15741587.0,3.906395435333252,323.4186096191406,INF-B,1827.948974609375,3.906395435333252,357.4707336425781,0.9891902804374695,300.0
B,2018-01-01,9979901.0,15770991.0,3.2197365760803223,319.79205322265625,INF-B,2139.244384765625,3.2197365760803223,307.57232666015625,0.9896402359008789,300.0
B,2018-04-01,9980152.0,15795770.0,2.661916971206665,316.74591064453125,INF-B,2390.781494140625,2.661916971206665,265.0544738769531,0.9900569319725037,300.0
B,2018-07-01,9980363.0,15817325.0,2.2030234336853027,314.1111755371094,INF-B,2601.09130859375,2.2030234336853027,227.9322509765625,0.9904272556304932,300.0
B,2018-10-01,9980539.0,15836061.0,1.8291075229644775,311.8514709472656,INF-B,2777.520751953125,1.8291075229644775,195.93666076660156,0.9907511472702026,300.0
B,2019-01-01,9980687.0,15852183.0,1.5338443517684937,309.9336242675781,INF-B,2925.05615234375,1.5338443517684937,168.6949462890625,0.9909895062446594,300.0
B,2019-04-01,9980809.0,15865808.0,1.302200436592102,308.3218994140625,INF-B,3047.31103515625,1.302200436592102,145.9008331298828,0.9911537170410156,300.0
B,2019-07-01,9980912.0,15877705.0,1.0799241065979004,306.92425537109375,INF-B,3150.522216796875,1.0799241065979004,125.8534164428711,0.9914922118186951,300.0
B,2019-10-01,9980998.0,15888044.0,0.8869335055351257,305.71527099609375,INF-B,3236.39697265625,0.8869335055351257,108.06510162353516,0.9918594360351562,300.0
B,2020-01-01,9981068.0,15896914.0,0.7234817743301392,304.6913757324219,INF-B,3306.67626953125,0.7234817743301392,92.68777465820312,0.9922548532485962,300.0
B,2020-04-01,9981124.0,15904453.0,0.5780016183853149,303.8244323730469,INF-B,3362.533203125,0.5780016183853149,79.69129180908203,0.9927992224693298,300.0
B,2020-07-01,9981167.0,15910944.0,0.4461870491504669,303.0820007324219,INF-B,3406.034423828125,0.4461870491504669,68.6391372680664,0.9935414791107178,300.0
B,2020-10-01,9981201.0,15916589.0,0.3357347548007965,302.4360656738281,INF-B,3439.384765625,0.3357347548007965,58.99911880493164,0.9943416714668274,300.0
B,2021-01-01,9981225.0,15921439.0,0.24605406820774078,301.879638671875,INF-B,3464.04248046875,0.24605406820774078,50.69556427001953,0.9951698780059814,300.0
B,2021-04-01,9981243.0,15925524.0,0.176884263753891,301.409912109375,INF-B,3481.32666015625,0.176884263753891,43.650943756103516,0.9959641098976135,300.0
B,2021-07-01,9981256.0,15929069.0,0.12876933813095093,300.9996032714844,INF-B,3494.08544921875,0.12876933813095093,37.410701751708984,0.9965697526931763,300.0
B,2021-10-01,9981264.0,15932044.0,0.0943099781870842,300.6517639160156,INF-B,3502.761962890625,0.0943099781870842,32.33979797363281,0.9970922470092773,300.0
C,2016-10-01,9977761.0,15566696.0,0.0,338.6571960449219,INF-C,0.0,-0.0,-0.0,0.0,0.0
C,2017-01-01,9994831.0,15571749.0,110.596923828125,341.853271484375,INF-C,17069.791015625,110.596923828125,93.10596466064453,0.45706748962402344,300.0
C,2017-04-01,10001145.0,15584132.0,60.98881149291992,341.21710205078125,INF-C,23383.333984375,60.98881149291992,148.48326110839844,0.7088451385498047,300.0
C,2017-07-01,10005358.0,15599053.0,42.73755645751953,339.2796630859375,INF-C,27596.40234375,42.73755645751953,167.0098876953125,0.7962427735328674,300.0
C,2017-10-01,10008636.0,15614637.0,33.684059143066406,336.87841796875,INF-C,30874.140625,33.684059143066406,169.28778076171875,0.8340456485748291,300.0
C,2018-01-01,10011350.0,15629875.0,28.288253784179688,334.43023681640625,INF-C,33588.66015625,28.288253784179688,164.0746307373047,0.8529433012008667,300.0
C,2018-04-01,10013645.0,15644081.0,24.670495986938477,332.13604736328125,INF-C,35883.5234375,24.670495986938477,155.54916381835938,0.86310875415802,300.0
C,2018-07-01,10015704.0,15657542.0,22.04269790649414,329.9676513671875,INF-C,37942.91796875,22.04269790649414,145.2555694580078,0.8682430982589722,300.0
C,2018-10-01,10017599.0,15670140.0,20.142501831054688,327.9439697265625,INF-C,39838.03125,20.142501831054688,134.16094970703125,0.8694617748260498,300.0
C,2019-01-01,10019344.0,15681726.0,18.607969284057617,326.0873718261719,INF-C,41582.64453125,18.607969284057617,123.19263458251953,0.8687736988067627,300.0
C,2019-04-01,10020939.0,15692103.0,17.453245162963867,324.4223937988281,INF-C,43177.59765625,17.453245162963867,112.68292236328125,0.8658847212791443,300.0
C,2019-07-01,10022453.0,15701444.0,16.635801315307617,322.91046142578125,INF-C,44691.45703125,16.635801315307617,102.64351654052734,0.8605307340621948,300.0
C,2019-10-01,10023919.0,15710005.0,15.933470726013184,321.5130920410156,INF-C,46157.3359375,15.933470726013184,93.05674743652344,0.8538082242012024,300.0
C,2020-01-01,10025337.0,15717947.0,15.233169555664062,320.20611572265625,INF-C,47575.078125,15.233169555664062,84.14271545410156,0.8467116355895996,300.0
C,2020-04-01,10026676.0,15725056.0,14.547527313232422,319.0226135253906,INF-C,48914.23828125,14.547527313232422,76.1959457397461,0.8396851420402527,300.0
C,2020-07-01,10027957.0,15731489.0,13.921412467956543,317.93804931640625,INF-C,50195.53125,13.921412467956543,68.88673400878906,0.8318835496902466,300.0
C,2020-10-01,10029182.0,15737216.0,13.320047378540039,316.9566345214844,INF-C,51420.9765625,13.320047378540039,62.25094985961914,0.8237412571907043,300.0
C,2021-01-01,10030350.0,15742382.0,12.689943313598633,316.0639343261719,INF-C,52588.44921875,12.689943313598633,56.14735412597656,0.8156530857086182,300.0
C,2021-04-01,10031438.0,15746957.0,12.08722972869873,315.2623291015625,INF-C,53676.30078125,12.08722972869873,50.83784866333008,0.8079107999801636,300.0
C,2021-07-01,10032494.0,15751241.0,11.454737663269043,314.50848388671875,INF-C,54732.44140625,11.454737663269043,45.89388656616211,0.8002613186836243,300.0
C,2021-10-01,10033507.0,15755150.0,10.874906539916992,313.8175048828125,INF-C,55745.4765625,10.874906539916992,41.40212631225586,0.7919754385948181,300.0
