TIME,FOPR_OPM,FOPR_ECLIPSE,FOPR_DIFF,FWPR_OPM,FWPR_ECLIPSE,FWPR_DIFF,FGPR_OPM,FGPR_ECLIPSE,FGPR_DIFF,FWIR_OPM,FWIR_ECLIPSE,FWIR_DIFF,FOPT_OPM,FOPT_ECLIPSE,FOPT_DIFF,FWPT_OPM,FWPT_ECLIPSE,FWPT_DIFF,FGPT_OPM,FGPT_ECLIPSE,FGPT_DIFF,FPR_OPM,FPR_ECLIPSE,FPR_DIFF
1.660000000000000000e+02,4.968541989999999714e+03,4.971152339999999640e+03,-2.610349999999925785e+00,5.306095260000000258e-02,5.192661290000000207e-02,1.134339700000000506e-03,7.602633120000000345e+05,7.597421879999999655e+05,5.211240000000689179e+02,6.428160160000000360e+03,6.428159670000000006e+03,4.900000003544846550e-04,3.819243750000000000e+05,3.819317500000000000e+05,-7.375000000000000000e+00,3.497853759999999923e+00,3.427692410000000134e+00,7.016134999999978916e-02,5.923362000000000000e+07,5.922949200000000000e+07,4.128000000000000000e+03,3.004814150000000268e+02,3.005078740000000153e+02,-2.645899999998846397e-02
1.710000000000000000e+02,4.970544920000000275e+03,4.972932619999999588e+03,-2.387699999999313150e+00,5.393843350000000064e-02,5.276714639999999928e-02,1.171287100000001358e-03,7.598498750000000000e+05,7.593675620000000345e+05,4.823129999999655411e+02,6.428160160000000360e+03,6.428159670000000006e+03,4.900000003544846550e-04,4.067770939999999828e+05,4.067942500000000000e+05,-1.715600000001722947e+01,3.767545940000000204e+00,3.690607309999999863e+00,7.693863000000034091e-02,6.303286800000000000e+07,6.302677600000000000e+07,6.092000000000000000e+03,3.000140989999999874e+02,3.000327449999999772e+02,-1.864599999998972635e-02
1.810000000000000000e+02,4.933848140000000058e+03,4.936102539999999863e+03,-2.254399999999805004e+00,5.187719689999999856e-02,5.048843100000000028e-02,1.388765899999998277e-03,7.529843750000000000e+05,7.525552500000000000e+05,4.291250000000000000e+02,7.533888179999999920e+03,7.533887700000000223e+03,4.799999996976112016e-04,4.561155939999999828e+05,4.561446250000000000e+05,-2.903100000001722947e+01,4.286317829999999773e+00,4.201308250000000299e+00,8.500957999999947390e-02,7.056271200000000000e+07,7.055434400000000000e+07,8.368000000000000000e+03,3.007905880000000138e+02,3.008192750000000046e+02,-2.868699999999080319e-02
1.910000000000000000e+02,4.887864260000000286e+03,4.889904789999999593e+03,-2.040529999999307620e+00,4.759749030000000325e-02,4.595193639999999718e-02,1.645553900000006065e-03,7.448980620000000345e+05,7.445098120000000345e+05,3.882500000000000000e+02,8.353824220000000423e+03,8.353824220000000423e+03,0.000000000000000000e+00,5.049942189999999828e+05,5.050367500000000000e+05,-4.253100000001722947e+01,4.762292859999999628e+00,4.670378679999999783e+00,9.191417999999984545e-02,7.801169600000000000e+07,7.800072800000000000e+07,1.096800000000000000e+04,3.028164059999999722e+02,3.028578800000000228e+02,-4.147400000005063703e-02
1.920000000000000000e+02,4.889272949999999582e+03,4.894540530000000217e+03,-5.267580000000634755e+00,4.567227139999999880e-02,4.512878879999999981e-02,5.434825999999989832e-04,7.545707500000000000e+05,7.534328750000000000e+05,1.137875000000000000e+03,4.185888179999999920e+03,4.185887700000000223e+03,4.799999996976112016e-04,5.098835000000000000e+05,5.099312810000000172e+05,-4.778100000001722947e+01,4.807965280000000341e+00,4.715507510000000124e+00,9.245777000000021673e-02,7.876626400000000000e+07,7.875416000000000000e+07,1.210400000000000000e+04,3.023775939999999878e+02,3.024193119999999908e+02,-4.171800000000303044e-02
2.010000000000000000e+02,4.888311520000000201e+03,4.889785640000000058e+03,-1.474119999999857100e+00,5.164201560000000052e-02,5.120721830000000280e-02,4.347972999999977217e-04,7.546798120000000345e+05,7.542365000000000000e+05,4.433120000000344589e+02,4.185888179999999920e+03,4.185887700000000223e+03,4.799999996976112016e-04,5.538796879999999655e+05,5.539505620000000345e+05,-7.087400000006891787e+01,5.261042119999999933e+00,5.158473970000000186e+00,1.025681499999997470e-01,8.555829600000000000e+07,8.554059200000000000e+07,1.770400000000000000e+04,2.985207819999999970e+02,2.985462650000000053e+02,-2.548300000000836008e-02
2.110000000000000000e+02,5.787009280000000217e+03,5.785797849999999926e+03,1.211430000000291329e+00,6.010745470000000007e-02,6.079325079999999687e-02,-6.857960999999967999e-04,9.018500620000000345e+05,9.019319379999999655e+05,-8.187599999993108213e+01,8.734272460000000137e+03,8.734272460000000137e+03,0.000000000000000000e+00,6.117498120000000345e+05,6.118085620000000345e+05,-5.875000000000000000e+01,5.862116340000000037e+00,5.773022649999999700e+00,8.909369000000033623e-02,9.457679200000000000e+07,9.455972800000000000e+07,1.706400000000000000e+04,2.992069089999999960e+02,2.992504270000000020e+02,-4.351800000000594082e-02
2.210000000000000000e+02,4.891918459999999868e+03,4.890271480000000338e+03,1.646979999999530264e+00,4.828082399999999996e-02,4.930381100000000294e-02,-1.022987000000002977e-03,7.641147500000000000e+05,7.642697500000000000e+05,-1.550000000000000000e+02,7.204328609999999571e+03,7.204328120000000126e+03,4.899999994449899532e-04,6.606689379999999655e+05,6.607071250000000000e+05,-3.818700000003445894e+01,6.344924930000000352e+00,6.269342899999999830e+00,7.558203000000052185e-02,1.022179440000000000e+08,1.022031520000000000e+08,1.479200000000000000e+04,2.995184330000000159e+02,2.995765079999999898e+02,-5.807499999997389750e-02
2.310000000000000000e+02,7.519425779999999577e+03,7.516814940000000206e+03,2.610839999999370775e+00,8.900363740000000190e-02,9.046041970000000265e-02,-1.456782300000000752e-03,1.169029500000000000e+06,1.168727500000000000e+06,3.020000000000000000e+02,7.740096190000000206e+03,7.740095699999999852e+03,4.900000003544846550e-04,7.358632500000000000e+05,7.358653750000000000e+05,-2.125000000000000000e+00,7.234961030000000015e+00,7.149565220000000387e+00,8.539580999999962785e-02,1.139082320000000000e+08,1.138948320000000000e+08,1.340000000000000000e+04,2.949089050000000043e+02,2.949373170000000073e+02,-2.841200000000299042e-02
2.410000000000000000e+02,4.601916019999999662e+03,4.601074709999999868e+03,8.413099999997939449e-01,4.766761879999999868e-02,4.691004750000000306e-02,7.575712999999956176e-04,7.081973750000000000e+05,7.083711879999999655e+05,-1.738129999999655411e+02,7.821120119999999588e+03,7.821120119999999588e+03,0.000000000000000000e+00,7.818823750000000000e+05,7.818658750000000000e+05,1.650000000000000000e+01,7.711637500000000145e+00,7.630699159999999814e+00,8.093834000000033058e-02,1.209902080000000000e+08,1.209798800000000000e+08,1.032800000000000000e+04,2.968893130000000156e+02,2.969587099999999964e+02,-6.939699999998083513e-02
